historical_outcome_id,candidate_id,batch,solv_comb_sm,salt_comb_sm,canonical_salt,C_norm_20,conc_salt_1,theor_capacity,amt_electrolyte,de_expansion_status,pool_compatible,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,mol_wt_solv
HIST_2_77_ELEC_aa3c1,ELEC_aa3c1160be4498da,2,COC(CCl)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.790618342,-1.433227757,0.680857868,-0.562792936,-0.39428374,-0.470132252,0.132725061,0.107643916,-0.333555437,-0.324076086,124.0291072
HIST_2_78_ELEC_0a7d0,ELEC_0a7d0539f3d33a73,2,COC(F)(F)C(F)Cl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.743405888,-1.487899894,0.912048248,-0.821154541,0.293528942,-0.651771739,0.598412816,-0.220785879,-0.090746766,-0.328343185,147.9902771
HIST_2_79_ELEC_a9473,ELEC_a9473ba9ba824a03,2,COC(OC)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.763499013,-1.479645119,0.935297717,-0.813958386,0.157691289,-0.724050496,0.577195118,-0.183906975,-0.090010121,-0.34550722,144.0398141
HIST_2_80_ELEC_53b33,ELEC_53b33df3df85e0b5,2,COCC(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,6.67e-06,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.094893947,-1.404056194,0.585391049,-0.764865229,-1.12770827,-0.580104181,0.501909091,0.331474635,-0.412697927,-0.318497454,104.0837296
HIST_2_81_ELEC_494c1,ELEC_494c1dfa07b983ee,2,COCC(F)(F)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.900533223,-1.482508155,0.838778968,-0.836133379,0.037687113,-0.440201697,0.923086821,0.022392412,-0.062370953,-0.277913267,146.0354777
HIST_2_82_ELEC_3c33c,ELEC_3c33cd8ed409168e,2,COCCC(C)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,6.67e-06,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.898381183,-1.467829442,1.086570459,-0.709556123,0.226229008,0.227358945,1.573874667,0.327258317,-0.089751219,-0.204550589,148.1099444
HIST_2_83_ELEC_b911c,ELEC_b911ca0db9ea7225,2,COCCOCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.039613333,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.0017922,-1.010354169,1.017560113,-0.622212424,0.273032569,0.35488101,1.350128201,0.349804796,-0.612392939,-0.443797179,188.0660289
HIST_2_84_ELEC_3fddd,ELEC_3fdddb64121e9db4,2,CO[Si](CCC(F)(F)C(F)(F)C(F)(F)F)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.01,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.693253119,-1.413397907,1.016682334,-0.620583738,0.391537374,-0.151953464,0.987993883,0.129135385,-0.188265883,-0.323886142,318.0522183
HIST_3_85_ELEC_13a7d,ELEC_13a7dcec1d79a867,3,CCCCCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.53654,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.308256378,-1.86306934,0.558941024,1.032227763,-0.733941425,1.279643633,0.535022646,0.339326424,-0.131248102,-0.220571929,116.1201151
HIST_3_86_ELEC_7e14e,ELEC_7e14eca6ba436b90,3,CCCCOCCOCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.249266667,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.067892401,-1.253528912,0.602356639,0.775133942,-0.714363578,1.295648251,0.646532478,0.057885571,-0.297491097,-0.275587927,220.1674592
HIST_3_87_ELEC_1dee0,ELEC_1dee05a08a2963a0,3,CCOC(=O)CN(C)CCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,8e-06,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.61837021,0.619338139,0.080507021,0.000244071,0.093421264,0.996731158,0.388904876,0.90169292,-0.710794021,-0.258546302,175.1208434
HIST_3_88_ELEC_fce39,ELEC_fce39c30a63a1067,3,CCOCCCl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.761119906,-1.609597838,0.396422982,0.137856288,0.181539763,0.20565827,0.102160945,0.166660629,-0.556469244,-0.407241446,108.0341926
HIST_3_89_ELEC_f37f8,ELEC_f37f8140d9c46303,3,COCCN(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,6.67e-06,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.910508327,-0.897028221,-0.30399985,-0.934742084,-0.208599166,0.859588877,0.955881621,1.288009264,-0.947539888,-0.321983042,103.099714
HIST_3_90_ELEC_1e85d,ELEC_1e85d4e748415a98,3,COCCN(C)S(C)(=O)=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.997594115,-0.587528505,-0.084673376,-0.76600535,-0.003628743,0.705357126,0.825029943,1.169960093,-1.325942591,-0.5435447,167.0616143
HIST_3_91_ELEC_26197,ELEC_26197ec8b93e218e,3,COCCOCCOCC(F)(F)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.549596667,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-1.190544702,-1.129055644,1.030187241,-0.66846516,-0.151807882,-0.097468222,1.281233276,0.277076031,-0.442167022,-0.403692158,234.0879072
