cell_id,protocol_id,replicate_id,protocol_type,protocol_variant,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
cell_034,Periodic_A_Co5,B,Periodic,A,554.8049105,619.5035007,0.20167794570018685,0.41351831042796816,0.601247424960344,0.06671537591831965,0.24580369570972543,0.5520788660951461,0.0024142312969203496,0.0048284625938408
cell_027,Periodic_B_Co10,A,Periodic,B,504.6302002,550.2085002,0.10027175974031344,0.20902350321493965,0.3005397115964412,0.0339089508877352,0.275848764170714,0.5470516044723321,0.00222222222433905,0.00444444444867815
cell_028,Periodic_B_Co10,B,Periodic,B,512.54751,558.2568443,0.10027175974031344,0.20902350321493965,0.3005397115964412,0.0339089508877352,0.275848764170714,0.5470516044723321,0.00222222222433905,0.00444444444867815
cell_043,Periodic_B_Co2,A,Periodic,B,618.7975596,784.5258847,0.5274765565800699,0.9661355924601058,1.5008230716384987,0.03171901543922495,0.3026612052277722,0.5670983951016146,0.0021287929824982503,0.0042575859649965995
cell_044,Periodic_B_Co2,B,Periodic,B,670.2309912,856.4668697,0.5274765565800699,0.9661355924601058,1.5008230716384987,0.03171901543922495,0.3026612052277722,0.5670983951016146,0.0021287929824982503,0.0042575859649965995
cell_035,Periodic_B_Co5,A,Periodic,B,519.3104616,583.8367549,0.2038866613034196,0.4022302353583439,0.6010450904099569,0.032998523077918604,0.2910332865923529,0.5545034510818407,0.00217537591687745,0.00435075183375495
cell_036,Periodic_B_Co5,B,Periodic,B,577.5589117,652.956218,0.2038866613034196,0.4022302353583439,0.6010450904099569,0.032998523077918604,0.2910332865923529,0.5545034510818407,0.00217537591687745,0.00435075183375495
cell_029,Periodic_C_Co10,A,Periodic,C,509.2185037,554.0370064,0.10225620152607405,0.4140606689107771,0.5012382696303758,0.04068113580483745,0.3243111938087607,0.5542285017764297,0.00147030621325775,0.0029406124265155
cell_030,Periodic_C_Co10,B,Periodic,C,519.1230266,578.2532618,0.10225620152607405,0.4140606689107771,0.5012382696303758,0.04068113580483745,0.3243111938087607,0.5542285017764297,0.00147030621325775,0.0029406124265155
cell_045,Periodic_C_Co2,A,Periodic,C,525.5398973,751.1934438,0.6053902712049517,1.8619904019247517,2.5003144884388924,0.0365483175886248,0.47143966010487887,0.6249336056291673,0.0013744261549104501,0.0027488523098209003
cell_046,Periodic_C_Co2,B,Periodic,C,549.7556406,813.881073,0.6053902712049517,1.8619904019247517,2.5003144884388924,0.0365483175886248,0.47143966010487887,0.6249336056291673,0.0013744261549104501,0.0027488523098209003
cell_037,Periodic_C_Co5,A,Periodic,C,625.7864553,752.109939,0.20428976913466407,0.8051335537843084,1.0013824673847818,0.039750734010216504,0.34017276710925937,0.548655288510739,0.0014507567157013,0.0029015134314026
cell_038,Periodic_C_Co5,B,Periodic,C,628.4741049,756.197323,0.20428976913466407,0.8051335537843084,1.0013824673847818,0.039750734010216504,0.34017276710925937,0.548655288510739,0.0014507567157013,0.0029015134314026
cell_031,Periodic_D_Co10,A,Periodic,D,514.0558617,553.5687225,0.09824341248336865,0.4072494672846396,0.5011805905162807,0.0389738243810099,0.33983808484719236,0.5599453352866014,0.0097379054189159,0.01947581083783185
cell_032,Periodic_D_Co10,B,Periodic,D,506.9005331,545.445157,0.09824341248336865,0.4072494672846396,0.5011805905162807,0.0389738243810099,0.33983808484719236,0.5599453352866014,0.0097379054189159,0.01947581083783185
cell_047,Periodic_D_Co2,A,Periodic,D,684.6693484,897.744032,0.5238906503588345,1.726482780713146,2.5004847512655997,0.0297599753132083,0.38316279887388716,0.6307009933427725,0.0104964314356753,0.0209928628713507
cell_048,Periodic_D_Co2,B,Periodic,D,684.1697996,897.8359583,0.5238906503588345,1.726482780713146,2.5004847512655997,0.0297599753132083,0.38316279887388716,0.6307009933427725,0.0104964314356753,0.0209928628713507
cell_039,Periodic_D_Co5,A,Periodic,D,579.6263103,668.2905145,0.1976093584236582,0.776557194096896,1.0013994048987578,0.0365414506698574,0.34554431897649585,0.5724303314685486,0.00981019480880535,0.01962038961761075
cell_040,Periodic_D_Co5,B,Periodic,D,626.3419818,732.6420907,0.1976093584236582,0.776557194096896,1.0013994048987578,0.0365414506698574,0.34554431897649585,0.5724303314685486,0.00981019480880535,0.01962038961761075
cell_049,Periodic_E_Co10,A,Periodic,E,492.4320373,518.9099549,0.1014121517404824,0.25560571902081086,0.4013401235615533,0.03609481939622165,0.26399270644332806,0.5561613959345365,0.0023754825900894998,0.00478222153004865
cell_050,Periodic_E_Co10,B,Periodic,E,506.251754,535.1077212,0.1014121517404824,0.25560571902081086,0.4013401235615533,0.03609481939622165,0.26399270644332806,0.5561613959345365,0.0023754825900894998,0.00478222153004865
cell_053,Periodic_E_Co2,A,Periodic,E,638.6355934,855.6097014,0.5589871647142424,1.1559912610020826,2.0003808651883115,0.0225709100267312,0.36923324989748124,0.6027832766506688,0.00194912867242925,0.00389825734485855
cell_054,Periodic_E_Co2,B,Periodic,E,649.4748382,861.4729165,0.5589871647142424,1.1559912610020826,2.0003808651883115,0.0225709100267312,0.36923324989748124,0.6027832766506688,0.00194912867242925,0.00389825734485855
cell_051,Periodic_E_Co5,A,Periodic,E,514.7582258,591.5549779,0.20010995869639725,0.4933545109779074,0.8013824673842889,0.030266480160919353,0.26026546095509234,0.546915450502949,0.0021011755164867503,0.00216484750183485
cell_052,Periodic_E_Co5,B,Periodic,E,596.7211156,695.625615,0.20010995869639725,0.4933545109779074,0.8013824673842889,0.030266480160919353,0.26026546095509234,0.546915450502949,0.0021011755164867503,0.00216484750183485
cell_059,Synthetic_1a_Co10,A,Synthetic,1a,571.231688,595.3422783,0.10231052984437945,0.5867405865040498,1.4578339507017453,0.0641114621958372,0.2533673476867101,0.4947458871233159,0.00029160674528765,0.00032400749476405
