protocol_id,protocol_type,protocol_variant,n_replicates,target_mean,target_std,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
Drive_City2_Co10,Drive,City2,2,482.8771355,9.353191025692029,482.8771355,512.42860945,0.09335971918322311,0.0899014144959158,0.8824350567397146,0.07545742854195431,0.00113723655297105,0.49201429616284753,5.794833906789376e-05,0.0001158966781357
Drive_City2_Co16,Drive,City2,2,534.19544875,32.723248688369694,534.19544875,734.8166038500001,0.059404016400379706,0.0618181270909758,0.5880442449372734,0.07810034333686175,0.00391206688636465,0.674941982144569,5.268773306084108e-05,0.0001053754661216
Periodic_A_Co10,Periodic,A,2,505.71279864999997,5.6802710097902205,505.71279864999997,531.8800913499999,0.10075335033055599,0.2190887094251607,0.3012723735456475,0.06885563432677355,0.25844681048967144,0.5525728248710163,0.0024786602894701,0.00498830383255855
Periodic_A_Co2,Periodic,A,2,637.38784285,20.088684379697003,637.38784285,794.34665325,0.5106488898032813,0.9883211012996427,1.501411535738567,0.06414351271591989,0.24891146996490585,0.5482182797979397,0.00219409438949905,0.002362870880999
Periodic_A_Co5,Periodic,A,2,572.1781106999999,24.569415344662904,572.1781106999999,643.51981585,0.20167794570018685,0.41351831042796816,0.601247424960344,0.06671537591831965,0.24580369570972543,0.5520788660951461,0.0024142312969203496,0.0048284625938408
Periodic_B_Co10,Periodic,B,2,508.5888551,5.598383448334707,508.5888551,554.23267225,0.10027175974031344,0.20902350321493965,0.3005397115964412,0.0339089508877352,0.275848764170714,0.5470516044723321,0.00222222222433905,0.00444444444867815
Periodic_B_Co2,Periodic,B,2,644.5142754,36.368928264054425,644.5142754,820.4963772,0.5274765565800699,0.9661355924601058,1.5008230716384987,0.03171901543922495,0.3026612052277722,0.5670983951016146,0.0021287929824982503,0.0042575859649965995
Periodic_B_Co5,Periodic,B,2,548.43468665,41.187874059316165,548.43468665,618.39648645,0.2038866613034196,0.4022302353583439,0.6010450904099569,0.032998523077918604,0.2910332865923529,0.5545034510818407,0.00217537591687745,0.00435075183375495
Periodic_C_Co10,Periodic,C,2,514.17076515,7.003555307007482,514.17076515,566.1451341,0.10225620152607405,0.4140606689107771,0.5012382696303758,0.04068113580483745,0.3243111938087607,0.5542285017764297,0.00147030621325775,0.0029406124265155
Periodic_C_Co2,Periodic,C,2,537.64776895,17.123116298902694,537.64776895,782.5372583999999,0.6053902712049517,1.8619904019247517,2.5003144884388924,0.0365483175886248,0.47143966010487887,0.6249336056291673,0.0013744261549104501,0.0027488523098209003
Periodic_C_Co5,Periodic,C,2,627.1302800999999,1.9004552576134228,627.1302800999999,754.153631,0.20428976913466407,0.8051335537843084,1.0013824673847818,0.039750734010216504,0.34017276710925937,0.548655288510739,0.0014507567157013,0.0029015134314026
Periodic_D_Co10,Periodic,D,2,510.4781974,5.0595813746780385,510.4781974,549.50693975,0.09824341248336865,0.4072494672846396,0.5011805905162807,0.0389738243810099,0.33983808484719236,0.5599453352866014,0.0097379054189159,0.01947581083783185
Periodic_D_Co2,Periodic,D,2,684.419574,0.35323434401357184,684.419574,897.78999515,0.5238906503588345,1.726482780713146,2.5004847512655997,0.0297599753132083,0.38316279887388716,0.6307009933427725,0.0104964314356753,0.0209928628713507
Periodic_D_Co5,Periodic,D,2,602.9841460499999,33.03296810533317,602.9841460499999,700.4663026000001,0.1976093584236582,0.776557194096896,1.0013994048987578,0.0365414506698574,0.34554431897649585,0.5724303314685486,0.00981019480880535,0.01962038961761075
Periodic_E_Co10,Periodic,E,2,499.34189564999997,9.772015392647008,499.34189564999997,527.00883805,0.1014121517404824,0.25560571902081086,0.4013401235615533,0.03609481939622165,0.26399270644332806,0.5561613959345365,0.0023754825900894998,0.00478222153004865
Periodic_E_Co2,Periodic,E,2,644.0552158,7.664503501021035,644.0552158,858.54130895,0.5589871647142424,1.1559912610020826,2.0003808651883115,0.0225709100267312,0.36923324989748124,0.6027832766506688,0.00194912867242925,0.00389825734485855
Periodic_E_Co5,Periodic,E,2,555.7396707,57.95651518322565,555.7396707,643.5902964500001,0.20010995869639725,0.4933545109779074,0.8013824673842889,0.030266480160919353,0.26026546095509234,0.546915450502949,0.0021011755164867503,0.00216484750183485
Synthetic_1a_Co10,Synthetic,1a,2,567.0097398,5.970736404076696,567.0097398,590.71945535,0.10231052984437945,0.5867405865040498,1.4578339507017453,0.0641114621958372,0.2533673476867101,0.4947458871233159,0.00029160674528765,0.00032400749476405
Synthetic_1a_Co16,Synthetic,1a,2,461.09120740000003,23.836339642673266,461.09120740000003,456.63537625000004,0.0648627870613972,0.368051796426516,0.9121598834095905,0.0646740907351112,0.23642525220945637,0.5268434451282313,0.0003220134449694,0.0006440268899388501
Synthetic_1a_Co5,Synthetic,1a,2,709.4786504,2.180730182522692,709.4786504,808.3936416500001,0.2249553634446954,1.1157445111576216,2.900196794184217,0.0713392990122052,0.29471129544593533,0.49138128325328956,0.0002265354563997,0.0003020472751996
Synthetic_1b_Co10,Synthetic,1b,2,698.60639685,20.157029927053973,698.60639685,756.7482934,0.11651369522570479,0.568304547159107,1.8569981099197772,0.0744245291361371,0.0008540769510159501,0.32993599592414635,3.74594969320973e-05,7.49189938641946e-05
Synthetic_1b_Co16,Synthetic,1b,2,519.637173,24.545632515184515,519.637173,530.53168375,0.06472376227281024,0.3642451922333489,1.1611475919320542,0.06552490561441965,0.00096516867616605,0.3725244279856885,6.089392278650592e-05,8.119189704867455e-05
Synthetic_2a_Co10,Synthetic,2a,2,539.12146065,6.106904310483132,539.12146065,488.96195245,0.09020561233617036,0.20445699225910624,0.6243533986111439,0.2099254964662946,0.0026714387349191498,0.5440832814244962,0.0026830590346037866,0.0053400841589027505
Synthetic_2a_Co2,Synthetic,2a,2,849.7406688000001,3.1329200326472058,849.7406688000001,893.4133563,0.4480871155479462,0.986275612475114,2.900476411836921,0.2136630105600827,0.0004448024853874,0.5376896152829653,0.002520572332038,0.0053376825854923
Synthetic_2a_Co5,Synthetic,2a,2,686.5946031000001,5.975163458212394,686.5946031000001,654.4288414499999,0.17943272239993524,0.40761586863786825,1.2475794208658066,0.21155482504705395,0.001500264186919,0.5238319300186517,0.0026115473444644497,0.00530642496362855
Synthetic_2b_Co10,Synthetic,2b,2,448.55087275,27.333673589676618,448.55087275,457.52864615,0.10415346929738226,0.08100910353766799,0.5267359083756289,0.06055206284931115,0.002015864600086,0.539274338143888,6.012693811978491e-05,0.036241463145900196
Synthetic_2b_Co2,Synthetic,2b,2,709.44713095,54.28391548669573,709.44713095,825.6895896999999,0.5331560049268214,0.38766211019562763,2.6269150269130366,0.0578497671146498,0.00014691100193325,0.5731149792979827,0.00032655775969374996,0.0360846324461647
Synthetic_2b_Co5,Synthetic,2b,2,581.7011306500001,1.074886523821143,581.7011306500001,621.16190555,0.2105053290194622,0.1607071261469008,1.051039304566099,0.0609117402798205,0.00057649749690145,0.5577179198526975,0.00012396209406040002,0.02167179180084555
Synthetic_2c_Co10,Synthetic,2c,2,461.35745844999997,75.41635742838571,461.35745844999997,469.6343215,0.09620871589241255,0.10061864004054616,0.5182762599170125,0.09952261071717235,0.0012400699371441,0.5459965119207135,5.7872268969568004e-05,0.06393413293135919
Synthetic_2c_Co2,Synthetic,2c,2,748.4312318,13.035558766008007,748.4312318,875.1052999000001,0.4886077662128345,0.48404441110629626,2.5859596548357766,0.0976019188293279,3.943964369291761e-05,0.5453280918602939,0.00031553208361685,0.0637374808906084
Synthetic_2c_Co5,Synthetic,2c,1,617.9762814,0.0,617.9762814,655.3062428,0.1927127831690194,0.1995581823485167,1.0357061090653843,0.0994984363014102,0.000377647961291,0.5293450997410617,0.0001180149879034,0.0639051159497256
Synthetic_3_Co10,Synthetic,3,2,588.65270775,0.615335846829094,588.65270775,614.45701585,0.1025966265748238,0.4947091828189615,1.456767093767085,0.08480112441068804,0.2532041444302931,0.5098371328880564,0.0002585942172543,0.0005495127116655
Synthetic_3_Co5,Synthetic,3,2,647.8371267499999,8.809232800097698,647.8371267499999,697.38699825,0.2624753722708293,0.8895986548644557,2.8999638974620754,0.1161164107898019,0.3352475746280803,0.6038252327289299,0.0001715413439982,0.0005146240319947001
