Area,Au [at.%],Ir [at.%],Rh [at.%]
332,40.05,37.64,22.31
333,38.35,36.46,25.19
334,37.54,35.76,26.71
335,36.89,34.44,28.67
336,46.16,38.97,14.87
337,45.87,37.79,16.35
338,44.85,37.32,17.82
339,44.23,36.94,18.83
340,43.06,35.69,21.24
341,41.79,35.19,23.02
342,40.46,34.65,24.89
