benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,simulator_seed,simulated_lifetime,best_observed_lifetime,is_off_grid,min_distance_to_grid,is_new_vs_observed,min_distance_to_observed,duplicate_rejections_at_step,acquisition_method,acquisition_score,exploration_score,exploitation_score,controller_reason,should_stop,stop_reason,trust_region_center,trust_region_length,trust_region_radius,success_counter,failure_counter,expanded,contracted,restarted,global_escape,posterior_candidate_mean,posterior_candidate_std,posterior_incumbent_mean,posterior_incumbent_std,success_probability,restart_reason,restart_candidate_id,reference_true_lifetime,best_reference_true,continuous_simple_regret,continuous_simple_regret_valid,gap_to_discrete_grid_optimum,improvement_over_discrete_grid,beats_discrete_grid,budget
0,greedy,13,Q_S00_greedy_ST13,ATTIA_CONT_960a07dd7aa2,4.4137,6.5372,4.0671,4.809543892795358,1172607495.0,870.0,1164.0,True,0.14022592867310757,True,0.007713128512986019,0,greedy,898.8202299282669,,,,False,,,,,0,0,False,False,False,False,898.8201016307588,173.40357092775255,,,,,,879.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,14,Q_S00_greedy_ST14,ATTIA_CONT_bed23b7cc7dc,4.4007,6.5681,4.0801,4.790334397993762,379397744.0,879.0,1164.0,True,0.1331934655424378,True,0.01090463592764659,0,greedy,898.6820636601507,,,,False,,,,,0,0,False,False,False,False,898.6820180284508,167.15937407774635,,,,,,874.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,15,Q_S00_greedy_ST15,ATTIA_CONT_569ddad3654b,4.4082,6.5773,4.0626,4.80082540936258,1970715973.0,801.0,1164.0,True,0.12821662569999967,True,0.015104063652853076,0,greedy,899.4072207926434,,,,False,,,,,0,0,False,False,False,False,899.4071162149061,161.4188879830926,,,,,,872.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,16,Q_S00_greedy_ST16,ATTIA_CONT_6e9099eae563,4.3953,6.5464,4.0793,4.809501252728912,1965603949.0,1014.0,1164.0,True,0.13918319752877667,True,0.008065782492060573,0,greedy,890.8706067351499,,,,False,,,,,0,0,False,False,False,False,890.8705913445466,158.18689381665018,,,,,,878.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,17,Q_S00_greedy_ST17,ATTIA_CONT_86b9d1aefb1d,4.4042,6.5854,4.0599,4.8050404948941345,1709421791.0,1033.0,1164.0,True,0.12556896183394994,True,0.0040028263796592625,0,greedy,903.2085520636683,,,,False,,,,,0,0,False,False,False,False,903.208769285683,155.51398689596738,,,,,,871.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,18,Q_S00_greedy_ST18,ATTIA_CONT_c563f3e762ef,4.455631880553874,6.681139788904046,4.083611722703272,4.665442274506297,1093074237.0,923.0,1164.0,True,0.10345401039063093,True,0.0440550232492949,0,greedy,914.8379404854367,,,,False,,,,,0,0,False,False,False,False,914.8379404854367,154.13781864192492,,,,,,847.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,19,Q_S00_greedy_ST19,ATTIA_CONT_ccf574f926d2,4.535268953363116,6.7477631269841805,3.9983592873527116,4.661148534927804,518434913.0,1058.0,1164.0,True,0.08030914880543463,True,0.0823843832744665,0,greedy,917.2155814696771,,,,False,,,,,0,0,False,False,False,False,917.2155814696771,152.87916785279262,,,,,,851.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,20,Q_S00_greedy_ST20,ATTIA_CONT_07153cd38482,4.4365,6.8829,3.9256,4.809896081024882,1184483871.0,953.0,1164.0,True,0.05136973041387226,True,0.08324176963936814,0,greedy,942.813798425775,,,,False,,,,,0,0,False,False,False,False,942.8141084039391,156.40195838503317,,,,,,786.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,21,Q_S00_greedy_ST21,ATTIA_CONT_c5b07e3293c2,4.5292,6.7585,3.8959,4.8099616733870585,872316352.0,554.0,1164.0,True,0.09282565903959976,True,0.05719537273183055,0,greedy,942.858339974773,,,,False,,,,,0,0,False,False,False,False,942.8565060256566,149.79436123101056,,,,,,855.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,22,Q_S00_greedy_ST22,ATTIA_CONT_efac187d8226,4.224648989538155,6.833028417710893,4.192719201614135,4.7220911214361525,1219912768.0,703.0,1164.0,True,0.11526108133522718,True,0.1272704725160924,0,greedy,905.8339240309366,,,,False,,,,,0,0,False,False,False,False,905.8339240309365,168.93748735640324,,,,,,827.0,961.0,166.0,True,118.0,0.0,False,30
