benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,trust_region_length,success_counter,failure_counter,expanded,contracted,restarted,global_escape,best_observed_lifetime,simulated_lifetime
1,turbo_nei,11,Q_S01_turbo_nei_ST11,ATTIA_CONT_794ff0ed2d2a,4.884695617067189,5.924216671634886,4.209379976585217,4.499459424744298,0.8,0,4,False,False,False,False,1045.0,720.0
1,turbo_nei,12,Q_S01_turbo_nei_ST12,ATTIA_CONT_b11c00ec05ec,5.889717208459347,5.911007487986212,4.179885349057241,3.9195860124322737,0.4,0,0,False,True,False,False,1045.0,805.0
1,turbo_nei,13,Q_S01_turbo_nei_ST13,ATTIA_CONT_8cd11b2ef61b,4.752541167156275,5.871142813747675,4.482836799963482,4.3568815568626444,0.4,0,1,False,False,False,False,1045.0,814.0
1,turbo_nei,14,Q_S01_turbo_nei_ST14,ATTIA_CONT_6799a1acd308,5.535959375200238,6.536158372393742,4.32303705759894,3.7260289416919066,0.4,0,2,False,False,False,False,1045.0,317.0
1,turbo_nei,15,Q_S01_turbo_nei_ST15,ATTIA_CONT_656aef770043,4.746394459447751,6.220852612928365,4.062706148006663,4.6348638366910215,0.4,1,0,False,False,False,False,1185.0,1185.0
1,turbo_nei,16,Q_S01_turbo_nei_ST16,ATTIA_CONT_c75cf2b2c8b7,4.728856682620715,6.200206438077041,4.116339092638431,4.594607137411644,0.4,0,1,False,False,False,False,1185.0,919.0
1,turbo_nei,17,Q_S01_turbo_nei_ST17,ATTIA_CONT_996db7e9cd5a,4.775833454519696,6.211122386334299,4.074945160549829,4.596808733333594,0.4,0,2,False,False,False,False,1185.0,878.0
1,turbo_nei,18,Q_S01_turbo_nei_ST18,ATTIA_CONT_55c5ab07ff98,4.744086807551083,6.223638863656914,4.040364016374269,4.664952496947726,0.4,0,3,False,False,False,False,1185.0,904.0
1,turbo_nei,19,Q_S01_turbo_nei_ST19,ATTIA_CONT_fcef538e9729,4.714322665901805,6.241551640703541,4.099583180778526,4.606809380200249,0.4,0,4,False,False,False,False,1185.0,852.0
1,turbo_nei,20,Q_S01_turbo_nei_ST20,ATTIA_CONT_b3c3d49398df,4.76332786205224,6.200379075284633,4.057160192799126,4.637406054509333,0.2,0,0,False,True,False,False,1185.0,1093.0
1,turbo_nei,21,Q_S01_turbo_nei_ST21,ATTIA_CONT_19772b676f45,4.7651844111558805,6.216936078268336,4.048085446275738,4.63829272505779,0.2,0,1,False,False,False,False,1185.0,814.0
1,turbo_nei,22,Q_S01_turbo_nei_ST22,ATTIA_CONT_d013464ccdb4,4.771692731861607,6.156120174507778,4.068737381293363,4.639345801446903,0.2,0,2,False,False,False,False,1185.0,1151.0
1,turbo_nei,23,Q_S01_turbo_nei_ST23,ATTIA_CONT_f4bdada8443d,4.769265143055666,6.136599918014303,4.077125260694414,4.641881584354473,0.2,0,3,False,False,False,False,1185.0,845.0
1,turbo_nei,24,Q_S01_turbo_nei_ST24,ATTIA_CONT_fb2362e90a6c,4.750948069874171,6.146350585582326,4.08177381469291,4.64771849445148,0.2,0,4,False,False,False,False,1185.0,822.0
