Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Au-rich,208,7.150614398818457,0.013282246338351,0.3099790502863213
Au-rich,83,7.327567531141821,0.0108336594025719,0.3101634917347599
Au-rich,21,7.398771875083438,0.0117093280250518,0.3078385696265906
Au-rich,199,7.250829162799845,0.0101525203320496,0.322530161176579
Au-rich,278,7.311249196905312,0.0104620703857491,0.313816807710466
Au-rich,326,7.350549684116795,0.0090902299316052,0.3097797441328027
Au-rich,173,7.237651358685213,0.0113504560355282,0.3164333111405473
Au-rich,216,7.282210694280851,0.0114760296860525,0.3137643976215379
Ir-rich,126,7.714274080391164,0.0048842955293158,0.2872723792912182
Ir-rich,117,7.4497685085263,0.0048421593608954,0.2650202270673142
Ir-rich,61,7.557051527560443,0.0038896198508826,0.2800296459274277
Ir-rich,165,7.761979056911475,0.0053441748563095,0.2736698965375299
Ir-rich,319,7.9394539459486175,0.0075031290544094,0.2746149857850269
Ir-rich,200,7.631861581015313,0.006397798254401,0.2475536596774697
Ir-rich,44,7.596491359892932,0.0034472090295771,0.2818021516470901
Ir-rich,246,7.857528597715309,0.0069458538840426,0.2596185031945385
Ir-rich,341,7.911417299636612,0.0059943391204926,0.2882397673119347
Ir-rich,34,7.622594884108869,0.0043314332979632,0.2924158538490676
Ir-rich,73,7.6701430395390435,0.0057997570573327,0.2989195433333503
Ir-rich,115,7.669904322464639,0.006913809278162,0.2988995414425399
Ir-rich,169,7.764318413091734,0.0055808140287238,0.2833356902047956
Ir-rich,223,7.751650780112819,0.0066325409040235,0.2475539807386566
Ir-rich,263,7.874273630550702,0.0064941988920121,0.2497296847396588
Ir-rich,13,7.604156631178472,0.0028443968756452,0.2785142251590284
Ir-rich,171,7.841162587419496,0.0061916903930089,0.2856707589501054
Ir-rich,9,7.68281687890148,0.0039152301501375,0.2940074041104822
Ir-rich,81,7.553984151579055,0.0041617304436261,0.2798624907779382
Ir-rich,301,7.945164432231837,0.0062721337346658,0.2639753142493297
Ir-rich,143,7.691344780060691,0.0046773896981372,0.2721478366479278
Ir-rich,16,7.619819527096451,0.0033462054412615,0.282362466556853
Ir-rich,93,7.764169310008848,0.0064759434782552,0.295493083756971
Ir-rich,214,7.72370939880695,0.0074285829405485,0.2865163950153204
Ir-rich,51,7.657440297090687,0.0044184287832847,0.295415111236768
Ir-rich,108,7.743194210709357,0.0050448794232089,0.2886141242292408
Ir-rich,328,7.920033199164155,0.0051446495408054,0.2702301785094453
Ir-rich,284,7.822064161939663,0.0062726247523627,0.263559647988315
Ir-rich,59,7.527124847574337,0.0035244391256093,0.2750380811172925
Ir-rich,179,7.630989648141146,0.0057622022877266,0.2513179436897007
Ir-rich,116,7.556319944890137,0.0048892383622668,0.2609362634178332
Ir-rich,154,7.724549514032004,0.0067067671131146,0.2959369936821529
Ir-rich,130,7.799036596198053,0.0055003369288026,0.2904904289157601
Ir-rich,86,7.703958976467252,0.0047561625467518,0.286910040853061
Ir-rich,211,7.772330479251805,0.0063272898813502,0.2803189226824862
Ir-rich,291,7.782570656499278,0.0081183877684187,0.2811472846594625
Ir-rich,289,7.764725759627098,0.0076439761164318,0.277141040894762
