material,target,model,modality_group,fold,test_samples,ridge_mae,ridge_rmse,ridge_r2,stage_aware_mae,stage_aware_rmse,stage_aware_r2
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,1,4,0.1507287084723593,0.15999696875908725,0.6376016849164624,0.2657726284958425,0.3615818224289421,-0.8508696710605457
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,2,4,0.10902798259243984,0.11844424734570322,0.8425663518272579,0.26074603356706905,0.3068465526064529,-0.056603660754538376
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,3,4,0.04734084955108253,0.05490447257136123,0.8025318881419454,0.3887684216043872,0.40792966704402306,-9.900642772757454
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,4,3,0.27394308269847567,0.2866399618855989,-29.840581988391055,0.6289101120145778,0.6310245885622054,-148.46573936889584
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,5,3,0.1395674458030197,0.160348849018517,-0.13612336563452487,0.36181290315377873,0.3918414283230711,-5.7844477098831435
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,1,4,0.25596087020293956,0.31391980752585663,-0.3950831688476708,0.4681230043247623,0.558869998151653,-3.4216488768068887
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,2,4,0.5110459642445331,0.6183822732307668,-3.2912486237055933,0.5942798022919231,0.6929231588311663,-4.388151114627704
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,3,4,0.38058648338386225,0.392705478324536,-9.10218797489336,0.6035560836336535,0.61462764879159,-23.74604005498849
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,4,3,0.643234540305,0.660911399858601,-162.95911899352038,0.6824214136910101,0.6946192391302972,-180.11011488618303
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,5,3,0.3572290933149991,0.39316345992667306,-5.830304958731669,0.3435275491753038,0.3795483011210058,-5.365432270592179
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,1,4,0.1600122373125894,0.1697163266441854,0.5922350366525557,0.2657726284958425,0.3615818224289421,-0.8508696710605457
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,2,4,0.2111555293530527,0.2574842374255583,0.2560034705522689,0.2607487753807287,0.3068478218647272,-0.056612401968682224
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,3,4,0.0438032887032892,0.053577285500633606,0.8119631625857286,0.040065632247552996,0.046364984178363156,0.8591808373567004
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,4,3,0.3282844974010226,0.34638945193764775,-44.03792853403203,0.6289046283872585,0.6310191233099259,-148.46315035905317
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,5,3,0.1317289398027174,0.14936727489936602,0.014163909548039921,0.36181290315377873,0.3918414283230711,-5.7844477098831435
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,1,6,8.39905405140983,9.119866638317438,0.8368308136127609,1.0828685760498047,1.2051073018320804,0.9971508677503573
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,2,6,9.007226376320016,12.000160455351542,0.9305948758129027,2.574792014227981,4.22261027668837,0.9914063150104362
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,3,6,4.70027740835415,6.430738663086591,0.9602356820476708,1.2462891472710471,1.4071738094599584,0.9980959984267093
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,4,6,9.598894359109961,10.262093672985333,0.9525541007369656,3.39410018920897,3.659644247836651,0.9939660115710333
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,5,6,2.9605038923068414,3.1964845220308926,0.9276572996860883,4.218620724148219,4.463191677883642,0.858960558009142
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,1,6,8.382733334268057,10.24028474034559,0.7942758681304075,3.65592681037055,4.516764480678717,0.9599764078839471
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,2,6,23.19691370941346,26.315718114092952,0.6662295525667435,22.66045104132759,39.117197126375075,0.26251551745022395
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,3,6,7.790927637439602,10.017294777921382,0.9035121289653314,14.8661306169298,24.402899135800926,0.4273956197865839
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,4,6,9.18539359221982,11.159266857919876,0.9438954530566294,17.07106886969672,26.306392674991127,0.6882192264110477
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,5,6,8.829254399670743,10.343826493215387,0.24244885660179571,18.628069983588322,24.153246335262075,-3.1304800149542116
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,1,6,5.927704222160078,7.843937399004844,0.8792938464570806,1.0714513990614165,1.389468327167652,0.9962124491181852
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,2,6,14.725540740675717,19.831120489670152,0.8104551731589463,4.37736744350858,6.102551375361457,0.9820509975000007
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,3,6,5.62189439386465,6.735607897551083,0.9563760073871513,2.2289386325412295,2.938688632823098,0.9916961601949764
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,4,6,6.460354439333834,7.540484753002606,0.9743831771199728,4.644108666314021,5.422899841739545,0.9867507925591025
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,5,6,4.962332793248758,5.694693505325052,0.7703903093300498,2.1285722520616304,2.877663004488689,0.9413687206346336
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,1,6,0.07385104619685039,0.10164698904558,0.43216941045671,0.03375545312730203,0.04482286792373436,0.8895847579294088
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,2,6,0.07519007112291214,0.09434944568127485,0.7134706139083165,0.03442515100752497,0.041311743470641336,0.9450664695555107
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,3,6,0.047761597225303966,0.06351816615089848,0.40908006423281795,0.03227856966542567,0.04504276211197223,0.7028451869784211
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,4,6,0.015377878218562771,0.018476850039606304,0.9916810677293623,0.08995261882542256,0.1234876137661464,0.628414706325103
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,5,6,0.04404699878218843,0.05024302349210743,0.6126270338527311,0.021660790187543744,0.025090768590400405,0.9033936427018103
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,1,6,0.11904036748929632,0.15063960304995397,-0.24711950766584168,0.14597597547674498,0.160999474976265,-0.4245531814297334
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,2,6,0.09112712060933319,0.10861981473170727,0.6202405595847661,0.09080193907260325,0.12517951325653587,0.49562101840919426
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,3,6,0.1435348172269436,0.16354301818691516,-2.9173895168326607,0.1864174782835605,0.23096920484195999,-6.813415116329556
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,4,6,0.08610927123078167,0.0906274121965414,0.7998613902001016,0.10959681383928954,0.1295179151014766,0.5912371580129735
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,5,6,0.07569524984496001,0.10117053849561887,-0.5706734397236197,0.15637252360025597,0.1839339737443098,-4.191605498007706
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,1,6,0.07617264135662649,0.0913899208313188,0.5409855584032073,0.05559581764567486,0.07253962210856402,0.7108119618533941
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,2,6,0.0499670183533916,0.05586052957871082,0.8995614207737423,0.07441455723457162,0.09734035142866669,0.6950165428572457
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,3,6,0.06775122067609578,0.08601160120469557,-0.08354463282298452,0.05865485680786139,0.0918237968178561,-0.23493253594904528
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,4,6,0.040123948473500835,0.0455562879869091,0.9494282037179966,0.09086331819294576,0.12102019153728914,0.643115741637927
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,5,6,0.027719548691266027,0.031337675231199964,0.8493006679173194,0.023224716725375367,0.028157584966395293,0.878334181208361
