cell_id,experiment_id,condition_no,electrode_id,replicate_index,loading_regime,target_coating_weight_gsm,roll_temperature_c,target_density_g_cm3,target_porosity_pct,roll_gap_um,number_of_passes,active_mass_g,rate_performance_5c_over_0_2c,discharge_capacity_0_2c_mah_g,discharge_capacity_5c_mah_g,first_cycle_loss_pct,cycle_50_capacity_c2_mah,cycle_50_retention_pct
DD053,EXP_11,11,NEX_CAT_240_H_85_M,1,HIGH,182.73,85.0,2.95,33.83,476.0,1,0.029581728,0.45895261166005175,457.4964163441554,74.44832397891021,8.539089670276056,4.47960978861981,99.24741299637027
DD055,EXP_11,11,NEX_CAT_240_H_85_M,2,HIGH,182.73,85.0,2.95,33.83,476.0,1,0.029738976,0.46141115216901557,460.3579886084211,74.91705262481129,8.643366099618,4.5505234205895,97.89150715337792
DD058,EXP_11,11,NEX_CAT_240_H_85_M,3,HIGH,182.73,85.0,2.95,33.83,476.0,1,0.029817120000000003,0.5377656555834927,460.9243841370925,87.19266984873119,9.081040750997428,4.52890812930822,97.61176408530729
DD007,EXP_12,12,NEX_CAT_240_H_85_D,1,HIGH,182.73,85.0,3.2,28.22,466.0,2,0.029152128,0.2983365669954545,491.4513017492744,48.42814455099013,8.623324519161546,3.9488,87.0117049781413
DD008,EXP_12,12,NEX_CAT_240_H_85_D,2,HIGH,182.73,85.0,3.2,28.22,466.0,2,0.029097312000000004,0.2913415381270937,489.87075518537597,47.229371434734794,9.125975813724574,4.43754,97.98879128741206
DD009,EXP_12,12,NEX_CAT_240_H_85_D,3,HIGH,182.73,85.0,3.2,28.22,466.0,2,0.028930368000000005,0.3197645653149953,486.926319755469,51.822784250896696,8.994380871942765,4.33716,96.52053739726851
DD050,EXP_13,13,NEX_CAT_240_H_120_P,1,HIGH,182.73,120.0,2.7,39.44,420.0,2,0.030604992000000008,0.3213698957109528,416.69703170728565,51.91292583902651,9.508151502993234,4.27804301363534,90.11749099121653
DD051,EXP_13,13,NEX_CAT_240_H_120_P,2,HIGH,182.73,120.0,2.7,39.44,420.0,2,0.03061296,0.1298662290753571,415.8800228072422,20.93153814593558,9.211734780747216,4.45662033505294,94.36370748322389
DD052,EXP_13,13,NEX_CAT_240_H_120_P,3,HIGH,182.73,120.0,2.7,39.44,420.0,2,0.030646656000000005,0.39426788259916523,419.19463004885176,63.98323523453912,8.638992587967198,4.56152120434138,95.20899147935744
DD047,EXP_14,14,NEX_CAT_240_H_120_M,1,HIGH,182.73,120.0,2.95,33.83,410.0,2,0.030195648000000005,0.3930429640109091,466.32677201808906,1.92244223,9.069667524971791,4.47619370606409,95.03046914895226
DD048,EXP_14,14,NEX_CAT_240_H_120_M,2,HIGH,182.73,120.0,2.95,33.83,410.0,2,0.03016704,0.39521656366390295,465.68366653794436,1.93040781,8.780049701767167,4.13385442422959,88.01101731718666
DD049,EXP_14,14,NEX_CAT_240_H_120_M,3,HIGH,182.73,120.0,2.95,33.83,410.0,2,0.030069984,0.4760328389406274,456.74304280568754,2.31789432,8.882384467941362,4.40038066711955,93.97630541830596
DD016,EXP_15,15,NEX_CAT_240_H_120_D,1,HIGH,182.73,120.0,3.2,28.22,400.0,2,0.029527200000000003,0.368862522771229,491.4843046560164,60.17552155300875,15.325801974686982,4.10740422029852,88.84972302337039
DD017,EXP_15,15,NEX_CAT_240_H_120_D,2,HIGH,182.73,120.0,3.2,28.22,400.0,2,0.029624448,0.4103204043371477,491.56376638301236,66.72992759223733,8.498942431302382,4.08926699896759,88.30007692447032
DD018,EXP_15,15,NEX_CAT_240_H_120_D,3,HIGH,182.73,120.0,3.2,28.22,400.0,2,0.029848704,0.325537073713028,495.3081390683885,52.94419918533146,8.40633904091016,4.45462461762547,95.75759766993401
DD029,EXP_16,16,NEX_CAT_240_H_145_P,1,HIGH,182.73,145.0,2.7,39.44,480.0,1,0.029966496000000006,0.20976062482229532,424.86700489045984,33.75033070266206,9.525585903728729,3.46886029324677,75.14386381804528
DD030,EXP_16,16,NEX_CAT_240_H_145_P,2,HIGH,182.73,145.0,2.7,39.44,480.0,1,0.030093696000000003,0.12689697930264204,425.49375587656704,20.361321852922284,9.32473203179467,3.30149690751393,71.5028450580005
DD031,EXP_16,16,NEX_CAT_240_H_145_P,3,HIGH,182.73,145.0,2.7,39.44,480.0,1,0.029855136000000004,0.18469384343342957,429.82210377545204,29.718614244463662,9.317983172729495,3.99409791395028,86.45775072338135
DD044,EXP_17,17,NEX_CAT_240_H_145_M,1,HIGH,182.73,145.0,2.95,33.83,473.0,3,0.030177312,0.4638024831450612,458.0563168372199,75.0509458894152,8.781435743003453,4.52613953778942,96.35116264771213
DD045,EXP_17,17,NEX_CAT_240_H_145_M,2,HIGH,182.73,145.0,2.95,33.83,473.0,3,0.030211872000000004,0.3925002135869448,458.50177166988124,63.502095467636025,17.074248267404634,4.22924774464752,90.00713997829264
DD046,EXP_17,17,NEX_CAT_240_H_145_M,3,HIGH,182.73,145.0,2.95,33.83,473.0,3,0.030269664,0.40410407320039826,458.86522139007167,65.3063704308049,8.828038939857452,4.32841020285023,91.96937643621605
DD010,EXP_18,18,NEX_CAT_240_H_145_D,1,HIGH,182.73,145.0,3.2,28.22,460.0,2,0.029697216,0.2810840323957275,490.78360251101265,45.527984508189014,8.783032245486522,4.17002,90.29633078180656
DD011,EXP_18,18,NEX_CAT_240_H_145_D,2,HIGH,182.73,145.0,3.2,28.22,460.0,2,0.02975424,0.2719626821160239,492.9771963119712,44.16266037591372,8.579048458392702,3.98032,85.83585105442376
DD012,EXP_18,18,NEX_CAT_240_H_145_D,3,HIGH,182.73,145.0,3.2,28.22,460.0,2,0.029773248,0.2917861214740354,491.634450783078,47.22246653800905,8.884272690539873,4.38868,94.95073625180113
