budget,initial_protocols,queries,seed,strategy,final_best_seen,final_simple_regret,regret_auc,hit_top_10_pct,hit_top_5_pct,queries_to_top_10_pct,queries_to_top_5_pct
8,5,3,47,gp_ucb,627.1302800999999,222.61038870000016,222.61038870000016,0,0,4,4
8,5,3,48,random,748.4312318,101.30943700000012,142.9919622875001,1,1,1,1
8,5,3,48,greedy,588.65270775,261.0879610500001,266.301643875,0,0,4,4
8,5,3,48,gp_ucb,617.9762814,231.76438740000015,248.1640685000001,0,0,4,4
8,5,3,49,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,4
8,5,3,49,greedy,849.7406688000001,0.0,60.40074371250006,1,1,0,1
8,5,3,49,gp_ucb,849.7406688000001,0.0,60.40074371250006,1,1,0,1
10,5,5,0,random,686.5946031000001,163.1460657,163.1460657,0,0,6,6
10,5,5,0,greedy,849.7406688000001,0.0,81.57303285,1,1,3,3
10,5,5,0,gp_ucb,849.7406688000001,0.0,81.57303285,1,1,3,3
10,5,5,1,random,686.5946031000001,163.1460657,163.1460657,0,0,6,6
10,5,5,1,greedy,849.7406688000001,0.0,54.382021900000005,1,1,2,2
10,5,5,1,gp_ucb,849.7406688000001,0.0,54.382021900000005,1,1,2,2
10,5,5,2,random,709.44713095,140.29353785000012,143.90711588333343,1,0,0,6
10,5,5,2,greedy,709.4786504,140.2620184000001,147.5101874333334,1,1,0,4
10,5,5,2,gp_ucb,698.60639685,151.13427195000008,151.13427195000008,1,0,0,6
10,5,5,3,random,686.5946031000001,163.1460657,163.50857055000003,0,0,6,6
10,5,5,3,greedy,709.44713095,140.29353785000012,161.14983530833342,1,0,5,6
10,5,5,3,gp_ucb,748.4312318,101.30943700000012,139.81261604166676,1,1,3,4
10,5,5,4,random,709.4786504,140.2620184000001,160.39967550833344,1,1,1,1
10,5,5,4,greedy,709.4786504,140.2620184000001,182.3493748750001,1,1,2,3
10,5,5,4,gp_ucb,709.4786504,140.2620184000001,182.3493748750001,1,1,2,3
10,5,5,5,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,5,greedy,849.7406688000001,0.0,84.42453083333343,1,1,0,0
10,5,5,5,gp_ucb,849.7406688000001,0.0,84.42453083333343,1,1,0,0
10,5,5,6,random,602.9841460499999,246.75652275000016,246.75652275000016,0,0,6,6
10,5,5,6,greedy,644.5142754,205.22639340000012,226.05217370833347,0,0,6,6
10,5,5,6,gp_ucb,644.5142754,205.22639340000012,226.05217370833347,0,0,6,6
10,5,5,7,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,7,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,7,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,8,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,8,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,8,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,9,random,849.7406688000001,0.0,198.78525733333345,1,1,5,5
10,5,5,9,greedy,709.4786504,140.2620184000001,163.44722923333345,1,1,1,4
10,5,5,9,gp_ucb,709.4786504,140.2620184000001,175.76018651666678,1,1,2,2
10,5,5,10,random,849.7406688000001,0.0,34.28090883333334,1,1,1,1
10,5,5,10,greedy,644.5142754,205.22639340000012,205.30290333333346,0,0,6,6
10,5,5,10,gp_ucb,849.7406688000001,0.0,91.86231080000005,1,1,2,2
10,5,5,11,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,11,greedy,849.7406688000001,0.0,33.76981233333337,1,1,0,0
10,5,5,11,gp_ucb,849.7406688000001,0.0,33.76981233333337,1,1,0,0
10,5,5,12,random,581.7011306500001,268.03953815,270.4881032916667,0,0,6,6
10,5,5,12,greedy,698.60639685,151.13427195000008,253.5838301750001,1,0,5,6
10,5,5,12,gp_ucb,647.8371267499999,201.90354205000017,238.71007420000012,0,0,6,6
10,5,5,13,random,698.60639685,151.13427195000008,151.13427195000008,1,0,0,6
10,5,5,13,greedy,709.4786504,140.2620184000001,145.6981451750001,1,1,0,3
10,5,5,13,gp_ucb,709.4786504,140.2620184000001,145.6981451750001,1,1,0,3
10,5,5,14,random,698.60639685,151.13427195000008,158.22768337500008,1,0,3,6
10,5,5,14,greedy,709.4786504,140.2620184000001,156.96806933333343,1,1,4,4
10,5,5,14,gp_ucb,709.4786504,140.2620184000001,156.96806933333343,1,1,4,4
10,5,5,15,random,686.5946031000001,163.1460657,171.34719240833337,0,0,6,6
10,5,5,15,greedy,644.5142754,205.22639340000012,206.41413215833344,0,0,6,6
10,5,5,15,gp_ucb,709.4786504,140.2620184000001,184.75934049166676,1,1,4,4
10,5,5,16,random,644.5142754,205.22639340000012,205.22639340000015,0,0,6,6
10,5,5,16,greedy,684.419574,165.32109480000008,185.27374410000007,0,0,6,6
10,5,5,16,gp_ucb,849.7406688000001,0.0,95.96231360000006,1,1,3,3
10,5,5,17,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,17,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,17,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,18,random,686.5946031000001,163.1460657,163.1460657,0,0,6,6
10,5,5,18,greedy,849.7406688000001,0.0,81.57303285,1,1,3,3
10,5,5,18,gp_ucb,849.7406688000001,0.0,54.382021900000005,1,1,2,2
10,5,5,19,random,572.1781106999999,277.56255810000016,277.56255810000016,0,0,6,6
10,5,5,19,greedy,637.38784285,212.35282595000012,257.53557450833347,0,0,6,6
10,5,5,19,gp_ucb,849.7406688000001,0.0,185.45349946666678,1,1,5,5
10,5,5,20,random,709.4786504,140.2620184000001,176.30742217500014,1,1,3,3
10,5,5,20,greedy,748.4312318,101.30943700000012,160.95300410000013,1,1,3,4
10,5,5,20,gp_ucb,748.4312318,101.30943700000012,160.95300410000013,1,1,3,4
10,5,5,21,random,849.7406688000001,0.0,55.10703160000003,1,1,2,2
10,5,5,21,greedy,748.4312318,101.30943700000012,139.81261604166676,1,1,3,4
10,5,5,21,gp_ucb,748.4312318,101.30943700000012,139.81261604166676,1,1,3,4
10,5,5,22,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,22,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,22,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,23,random,647.8371267499999,201.90354205000017,201.90354205000017,0,0,6,6
10,5,5,23,greedy,849.7406688000001,0.0,100.95177102500008,1,1,3,3
10,5,5,23,gp_ucb,849.7406688000001,0.0,100.95177102500008,1,1,3,3
10,5,5,24,random,642.4142075,207.32646130000012,217.5157462333335,0,0,6,6
10,5,5,24,greedy,627.1302800999999,222.61038870000016,222.61038870000016,0,0,6,6
10,5,5,24,gp_ucb,627.1302800999999,222.61038870000016,222.61038870000016,0,0,6,6
10,5,5,25,random,647.8371267499999,201.90354205000017,221.6316817166668,0,0,6,6
10,5,5,25,greedy,698.60639685,151.13427195000008,224.4367313500001,1,0,4,6
10,5,5,25,gp_ucb,698.60639685,151.13427195000008,187.7855016500001,1,0,2,6
10,5,5,26,random,684.419574,165.32109480000008,165.32109480000008,0,0,6,6
10,5,5,26,greedy,709.4786504,140.2620184000001,161.14458206666674,1,1,5,5
10,5,5,26,gp_ucb,849.7406688000001,0.0,122.92770987500008,1,1,3,4
10,5,5,27,random,684.419574,165.32109480000008,165.32109480000008,0,0,6,6
10,5,5,27,greedy,684.419574,165.32109480000008,165.32109480000008,0,0,6,6
10,5,5,27,gp_ucb,748.4312318,101.30943700000012,143.98387553333342,1,1,4,4
10,5,5,28,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,6
10,5,5,28,greedy,849.7406688000001,0.0,110.4139314000001,1,1,0,4
10,5,5,28,gp_ucb,849.7406688000001,0.0,63.649418783333395,1,1,0,2
10,5,5,29,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,29,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,29,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,30,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,6
10,5,5,30,greedy,849.7406688000001,0.0,90.9218809750001,1,1,0,1
10,5,5,30,gp_ucb,849.7406688000001,0.0,74.03697480833341,1,1,0,1
10,5,5,31,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,31,greedy,849.7406688000001,0.0,33.76981233333337,1,1,0,0
10,5,5,31,gp_ucb,849.7406688000001,0.0,33.76981233333337,1,1,0,0
10,5,5,32,random,686.5946031000001,163.1460657,163.1460657,0,0,6,6
10,5,5,32,greedy,849.7406688000001,0.0,108.76404380000001,1,1,4,4
10,5,5,32,gp_ucb,849.7406688000001,0.0,81.57303285,1,1,3,3
10,5,5,33,random,709.44713095,140.29353785000012,140.29353785000012,1,0,0,6
10,5,5,33,greedy,849.7406688000001,0.0,46.76451261666671,1,1,0,2
10,5,5,33,gp_ucb,849.7406688000001,0.0,23.382256308333353,1,1,0,1
10,5,5,34,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,34,greedy,849.7406688000001,0.0,50.65471850000006,1,1,0,0
10,5,5,34,gp_ucb,849.7406688000001,0.0,50.65471850000006,1,1,0,0
10,5,5,35,random,849.7406688000001,0.0,161.7933723166668,1,1,5,5
10,5,5,35,greedy,647.8371267499999,201.90354205000017,201.90354205000017,0,0,6,6
10,5,5,35,gp_ucb,709.4786504,140.2620184000001,191.62995477500013,1,1,5,5
10,5,5,36,random,644.5142754,205.22639340000012,257.16955865000017,0,0,6,6
10,5,5,36,greedy,709.4786504,140.2620184000001,217.18915213333344,1,1,3,4
10,5,5,36,gp_ucb,849.7406688000001,0.0,142.94642881666672,1,1,2,3
10,5,5,37,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,37,greedy,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
10,5,5,37,gp_ucb,849.7406688000001,0.0,50.65471850000006,1,1,0,0
10,5,5,38,random,698.60639685,151.13427195000008,200.40818630000012,1,0,5,6
10,5,5,38,greedy,644.5142754,205.22639340000012,206.41413215833344,0,0,6,6
10,5,5,38,gp_ucb,644.5142754,205.22639340000012,206.41413215833344,0,0,6,6
10,5,5,39,random,686.5946031000001,163.1460657,163.1460657,0,0,6,6
10,5,5,39,greedy,849.7406688000001,0.0,77.75902496666669,1,1,2,2
10,5,5,39,gp_ucb,849.7406688000001,0.0,131.95112350000002,1,1,3,5
10,5,5,40,random,647.8371267499999,201.90354205000017,212.68664791666674,0,0,6,6
10,5,5,40,greedy,598.26613535,251.47453345000008,251.47453345000008,0,0,6,6
10,5,5,40,gp_ucb,698.60639685,151.13427195000008,234.75115653333341,1,0,5,6
10,5,5,41,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,41,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,41,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,42,random,698.60639685,151.13427195000008,161.33736428333341,1,0,1,6
10,5,5,42,greedy,644.5142754,205.22639340000012,207.6018709166668,0,0,6,6
10,5,5,42,gp_ucb,644.5142754,205.22639340000012,207.6018709166668,0,0,6,6
10,5,5,43,random,709.44713095,140.29353785000012,169.6458463750001,1,0,2,6
10,5,5,43,greedy,709.4786504,140.2620184000001,179.14489900833345,1,1,2,3
10,5,5,43,gp_ucb,709.4786504,140.2620184000001,216.2157373583334,1,1,4,5
10,5,5,44,random,647.8371267499999,201.90354205000017,201.90354205000017,0,0,6,6
10,5,5,44,greedy,748.4312318,101.30943700000012,154.31709605000012,1,1,2,2
10,5,5,44,gp_ucb,849.7406688000001,0.0,114.05518681666676,1,1,2,2
10,5,5,45,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,45,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,45,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,46,random,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,46,greedy,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,46,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
10,5,5,47,random,849.7406688000001,0.0,180.41401478333344,1,1,5,5
10,5,5,47,greedy,627.1302800999999,222.61038870000016,222.61038870000016,0,0,6,6
10,5,5,47,gp_ucb,709.4786504,140.2620184000001,195.1609319333335,1,1,4,4
10,5,5,48,random,748.4312318,101.30943700000012,129.09778719166675,1,1,1,1
10,5,5,48,greedy,698.60639685,151.13427195000008,227.91251990000004,1,0,4,6
