step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
5,greedy,709.4786504,140.2620184000001,1,1,Synthetic_3_Co5,2
6,greedy,709.4786504,140.2620184000001,1,1,Periodic_C_Co2,2
7,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,2
8,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,2
9,greedy,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,2
10,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,2
11,greedy,849.7406688000001,0.0,1,1,Periodic_A_Co2,2
12,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co5,2
13,greedy,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,2
14,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,2
15,greedy,849.7406688000001,0.0,1,1,Periodic_B_Co2,2
0,gp_ucb,698.60639685,151.13427195000008,1,0,,2
1,gp_ucb,698.60639685,151.13427195000008,1,0,Periodic_C_Co2,2
2,gp_ucb,698.60639685,151.13427195000008,1,0,Synthetic_1b_Co16,2
3,gp_ucb,698.60639685,151.13427195000008,1,0,Synthetic_1a_Co10,2
4,gp_ucb,698.60639685,151.13427195000008,1,0,CC_(100%_storage)_Co10,2
5,gp_ucb,698.60639685,151.13427195000008,1,0,Synthetic_1a_Co16,2
6,gp_ucb,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,2
7,gp_ucb,709.4786504,140.2620184000001,1,1,Synthetic_3_Co5,2
8,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,2
9,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,2
10,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,2
11,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,2
12,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,2
13,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co5,2
14,gp_ucb,849.7406688000001,0.0,1,1,Periodic_A_Co2,2
15,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,2
0,random,684.419574,165.32109480000008,0,0,,3
1,random,686.5946031000001,163.1460657,0,0,Synthetic_2a_Co5,3
2,random,686.5946031000001,163.1460657,0,0,Periodic_A_Co10,3
3,random,686.5946031000001,163.1460657,0,0,Synthetic_2c_Co5,3
4,random,686.5946031000001,163.1460657,0,0,Synthetic_2b_Co5,3
5,random,686.5946031000001,163.1460657,0,0,Periodic_D_Co5,3
6,random,686.5946031000001,163.1460657,0,0,Synthetic_1a_Co10,3
7,random,686.5946031000001,163.1460657,0,0,Periodic_D_Co10,3
8,random,686.5946031000001,163.1460657,0,0,Synthetic_3_Co5,3
9,random,686.5946031000001,163.1460657,0,0,CC_(no_storage)_Co2,3
10,random,686.5946031000001,163.1460657,0,0,Synthetic_3_Co10,3
11,random,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,3
12,random,849.7406688000001,0.0,1,1,CC_(5%_storage)_Co2,3
13,random,849.7406688000001,0.0,1,1,Periodic_B_Co2,3
14,random,849.7406688000001,0.0,1,1,CC_(50%_storage)_Co10,3
15,random,849.7406688000001,0.0,1,1,Synthetic_2b_Co10,3
0,greedy,684.419574,165.32109480000008,0,0,,3
1,greedy,684.419574,165.32109480000008,0,0,Periodic_C_Co2,3
2,greedy,684.419574,165.32109480000008,0,0,Periodic_D_Co5,3
3,greedy,684.419574,165.32109480000008,0,0,Periodic_D_Co10,3
4,greedy,684.419574,165.32109480000008,0,0,CC_(100%_storage)_Co10,3
5,greedy,709.44713095,140.29353785000012,1,0,Synthetic_2b_Co2,3
6,greedy,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co2,3
7,greedy,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co5,3
8,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,3
9,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,3
10,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,3
11,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,3
12,greedy,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,3
13,greedy,849.7406688000001,0.0,1,1,Synthetic_3_Co5,3
14,greedy,849.7406688000001,0.0,1,1,Periodic_A_Co2,3
15,greedy,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,3
0,gp_ucb,684.419574,165.32109480000008,0,0,,3
1,gp_ucb,684.419574,165.32109480000008,0,0,Periodic_C_Co2,3
2,gp_ucb,684.419574,165.32109480000008,0,0,Periodic_D_Co5,3
3,gp_ucb,709.44713095,140.29353785000012,1,0,Synthetic_2b_Co2,3
4,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co2,3
5,gp_ucb,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co5,3
6,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,3
7,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_3_Co5,3
8,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,3
9,gp_ucb,849.7406688000001,0.0,1,1,Periodic_A_Co2,3
10,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,3
11,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,3
12,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,3
13,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,3
14,gp_ucb,849.7406688000001,0.0,1,1,Periodic_B_Co2,3
15,gp_ucb,849.7406688000001,0.0,1,1,Periodic_E_Co2,3
0,random,588.65270775,261.0879610500001,0,0,,4
1,random,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,4
2,random,709.4786504,140.2620184000001,1,1,Periodic_E_Co2,4
3,random,709.4786504,140.2620184000001,1,1,Periodic_C_Co10,4
4,random,709.4786504,140.2620184000001,1,1,Drive_City2_Co10,4
5,random,709.4786504,140.2620184000001,1,1,Synthetic_2a_Co10,4
6,random,709.4786504,140.2620184000001,1,1,Synthetic_2c_Co10,4
7,random,709.4786504,140.2620184000001,1,1,Synthetic_2c_Co5,4
8,random,709.4786504,140.2620184000001,1,1,Periodic_E_Co10,4
9,random,709.4786504,140.2620184000001,1,1,Periodic_E_Co5,4
10,random,709.4786504,140.2620184000001,1,1,Periodic_C_Co2,4
11,random,709.4786504,140.2620184000001,1,1,CC_(100%_storage)_Co2,4
12,random,709.4786504,140.2620184000001,1,1,CC_(5%_storage)_Co10,4
13,random,709.4786504,140.2620184000001,1,1,CC_(50%_storage)_Co5,4
14,random,709.4786504,140.2620184000001,1,1,Periodic_D_Co10,4
15,random,709.4786504,140.2620184000001,1,1,Synthetic_2a_Co5,4
0,greedy,588.65270775,261.0879610500001,0,0,,4
1,greedy,588.65270775,261.0879610500001,0,0,Synthetic_1a_Co16,4
2,greedy,698.60639685,151.13427195000008,1,0,Synthetic_1b_Co10,4
3,greedy,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,4
4,greedy,709.4786504,140.2620184000001,1,1,Synthetic_3_Co5,4
5,greedy,709.4786504,140.2620184000001,1,1,Drive_City1_Co10,4
6,greedy,709.4786504,140.2620184000001,1,1,Synthetic_1b_Co16,4
7,greedy,709.4786504,140.2620184000001,1,1,CC_(no_storage)_Co2,4
8,greedy,709.4786504,140.2620184000001,1,1,Periodic_C_Co2,4
9,greedy,709.4786504,140.2620184000001,1,1,Synthetic_2c_Co10,4
10,greedy,709.4786504,140.2620184000001,1,1,Synthetic_2b_Co2,4
11,greedy,748.4312318,101.30943700000012,1,1,Synthetic_2c_Co2,4
12,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,4
13,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,4
14,greedy,849.7406688000001,0.0,1,1,Periodic_A_Co2,4
15,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co2,4
0,gp_ucb,588.65270775,261.0879610500001,0,0,,4
1,gp_ucb,588.65270775,261.0879610500001,0,0,Synthetic_1a_Co16,4
2,gp_ucb,698.60639685,151.13427195000008,1,0,Synthetic_1b_Co10,4
3,gp_ucb,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,4
4,gp_ucb,709.4786504,140.2620184000001,1,1,Synthetic_3_Co5,4
5,gp_ucb,709.4786504,140.2620184000001,1,1,Periodic_D_Co10,4
6,gp_ucb,709.4786504,140.2620184000001,1,1,Synthetic_2a_Co5,4
7,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,4
8,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,4
9,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co2,4
10,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,4
11,gp_ucb,849.7406688000001,0.0,1,1,Periodic_C_Co2,4
12,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co5,4
13,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,4
14,gp_ucb,849.7406688000001,0.0,1,1,Periodic_A_Co2,4
15,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,4
0,random,748.4312318,101.30943700000012,1,1,,5
1,random,748.4312318,101.30943700000012,1,1,Drive_City2_Co10,5
2,random,748.4312318,101.30943700000012,1,1,Synthetic_1a_Co5,5
3,random,748.4312318,101.30943700000012,1,1,Periodic_D_Co2,5
4,random,748.4312318,101.30943700000012,1,1,Periodic_B_Co5,5
5,random,748.4312318,101.30943700000012,1,1,Synthetic_3_Co10,5
6,random,748.4312318,101.30943700000012,1,1,Synthetic_2a_Co10,5
