step,strategy,seed,best_simulated_lifetime,best_reference_mean,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_policy_id,budget
24,gp_ucb,1,1325.0,1086.94,0.0,1,1,ATTIA_P000,30
25,gp_ucb,1,1325.0,1086.94,0.0,1,1,ATTIA_P004,30
0,random,2,958.0,843.1,243.84000000000003,0,0,,30
1,random,2,958.0,843.1,243.84000000000003,0,0,ATTIA_P135,30
2,random,2,958.0,843.1,243.84000000000003,0,0,ATTIA_P188,30
3,random,2,958.0,843.1,243.84000000000003,0,0,ATTIA_P102,30
4,random,2,958.0,843.1,243.84000000000003,0,0,ATTIA_P023,30
5,random,2,1069.0,915.7,171.24,0,0,ATTIA_P157,30
6,random,2,1069.0,915.7,171.24,0,0,ATTIA_P132,30
7,random,2,1069.0,915.7,171.24,0,0,ATTIA_P037,30
8,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P000,30
9,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P120,30
10,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P209,30
11,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P168,30
12,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P203,30
13,random,2,1069.0,948.06,138.8800000000001,0,0,ATTIA_P166,30
14,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P118,30
15,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P169,30
16,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P204,30
17,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P057,30
18,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P099,30
19,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P187,30
20,random,2,1133.0,1010.26,76.68000000000006,1,0,ATTIA_P107,30
21,random,2,1202.0,1010.26,76.68000000000006,1,0,ATTIA_P050,30
22,random,2,1202.0,1010.26,76.68000000000006,1,0,ATTIA_P130,30
23,random,2,1202.0,1010.26,76.68000000000006,1,0,ATTIA_P208,30
24,random,2,1202.0,1010.26,76.68000000000006,1,0,ATTIA_P059,30
25,random,2,1202.0,1010.26,76.68000000000006,1,0,ATTIA_P080,30
0,greedy,2,958.0,843.1,243.84000000000003,0,0,,30
1,greedy,2,958.0,948.06,138.8800000000001,0,0,ATTIA_P000,30
2,greedy,2,1063.0,948.06,138.8800000000001,0,0,ATTIA_P001,30
3,greedy,2,1063.0,948.06,138.8800000000001,0,0,ATTIA_P002,30
4,greedy,2,1063.0,966.98,119.96000000000004,0,0,ATTIA_P003,30
5,greedy,2,1108.0,966.98,119.96000000000004,0,0,ATTIA_P004,30
6,greedy,2,1108.0,966.98,119.96000000000004,0,0,ATTIA_P005,30
7,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P006,30
8,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P007,30
9,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P008,30
10,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P009,30
11,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P010,30
12,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P011,30
13,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P012,30
14,greedy,2,1108.0,1013.82,73.12,1,0,ATTIA_P013,30
15,greedy,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P014,30
16,greedy,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P029,30
17,greedy,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P015,30
18,greedy,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P016,30
19,greedy,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P031,30
20,greedy,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P034,30
21,greedy,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P019,30
22,greedy,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P054,30
23,greedy,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P039,30
24,greedy,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P020,30
25,greedy,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P035,30
0,gp_ucb,2,958.0,843.1,243.84000000000003,0,0,,30
1,gp_ucb,2,958.0,948.06,138.8800000000001,0,0,ATTIA_P000,30
2,gp_ucb,2,1063.0,948.06,138.8800000000001,0,0,ATTIA_P001,30
3,gp_ucb,2,1063.0,948.06,138.8800000000001,0,0,ATTIA_P002,30
4,gp_ucb,2,1063.0,966.98,119.96000000000004,0,0,ATTIA_P003,30
5,gp_ucb,2,1108.0,966.98,119.96000000000004,0,0,ATTIA_P004,30
6,gp_ucb,2,1108.0,966.98,119.96000000000004,0,0,ATTIA_P005,30
7,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P006,30
8,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P007,30
9,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P008,30
10,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P009,30
11,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P010,30
12,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P011,30
13,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P012,30
14,gp_ucb,2,1108.0,1013.82,73.12,1,0,ATTIA_P013,30
15,gp_ucb,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P014,30
16,gp_ucb,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P029,30
17,gp_ucb,2,1165.0,1049.82,37.12000000000012,1,1,ATTIA_P015,30
18,gp_ucb,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P016,30
19,gp_ucb,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P031,30
20,gp_ucb,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P034,30
21,gp_ucb,2,1166.0,1049.82,37.12000000000012,1,1,ATTIA_P019,30
22,gp_ucb,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P054,30
23,gp_ucb,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P039,30
24,gp_ucb,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P020,30
25,gp_ucb,2,1166.0,1054.38,32.559999999999945,1,1,ATTIA_P035,30
0,random,3,1026.0,924.68,162.2600000000001,0,0,,30
1,random,3,1026.0,924.68,162.2600000000001,0,0,ATTIA_P065,30
2,random,3,1026.0,924.68,162.2600000000001,0,0,ATTIA_P176,30
3,random,3,1026.0,924.68,162.2600000000001,0,0,ATTIA_P211,30
4,random,3,1026.0,952.82,134.12,0,0,ATTIA_P028,30
5,random,3,1026.0,952.82,134.12,0,0,ATTIA_P057,30
6,random,3,1026.0,952.82,134.12,0,0,ATTIA_P075,30
7,random,3,1026.0,952.82,134.12,0,0,ATTIA_P045,30
8,random,3,1026.0,952.82,134.12,0,0,ATTIA_P033,30
9,random,3,1026.0,952.82,134.12,0,0,ATTIA_P217,30
10,random,3,1026.0,952.82,134.12,0,0,ATTIA_P071,30
11,random,3,1026.0,952.82,134.12,0,0,ATTIA_P192,30
12,random,3,1114.0,952.82,134.12,0,0,ATTIA_P030,30
13,random,3,1114.0,952.82,134.12,0,0,ATTIA_P168,30
14,random,3,1114.0,952.82,134.12,0,0,ATTIA_P180,30
15,random,3,1114.0,966.98,119.96000000000004,0,0,ATTIA_P003,30
16,random,3,1114.0,966.98,119.96000000000004,0,0,ATTIA_P173,30
17,random,3,1114.0,966.98,119.96000000000004,0,0,ATTIA_P095,30
18,random,3,1114.0,966.98,119.96000000000004,0,0,ATTIA_P053,30
19,random,3,1114.0,966.98,119.96000000000004,0,0,ATTIA_P041,30
20,random,3,1114.0,997.3,89.6400000000001,1,0,ATTIA_P105,30
21,random,3,1114.0,1014.82,72.12,1,1,ATTIA_P052,30
22,random,3,1114.0,1014.82,72.12,1,1,ATTIA_P156,30
23,random,3,1114.0,1014.82,72.12,1,1,ATTIA_P103,30
24,random,3,1114.0,1014.82,72.12,1,1,ATTIA_P072,30
25,random,3,1114.0,1014.82,72.12,1,1,ATTIA_P221,30
0,greedy,3,1026.0,924.68,162.2600000000001,0,0,,30
1,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P119,30
2,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P125,30
3,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P114,30
4,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P089,30
5,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P085,30
6,greedy,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P120,30
7,greedy,3,1120.0,980.3,106.6400000000001,0,0,ATTIA_P115,30
8,greedy,3,1195.0,1054.38,32.559999999999945,1,1,ATTIA_P054,30
9,greedy,3,1220.0,1065.68,21.25999999999999,1,1,ATTIA_P083,30
10,greedy,3,1220.0,1065.68,21.25999999999999,1,1,ATTIA_P058,30
11,greedy,3,1220.0,1065.68,21.25999999999999,1,1,ATTIA_P038,30
12,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P113,30
13,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P123,30
14,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P079,30
15,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P034,30
16,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P118,30
17,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P088,30
18,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P093,30
19,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P109,30
20,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P147,30
21,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P129,30
22,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P063,30
23,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P076,30
24,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P157,30
25,greedy,3,1220.0,1086.94,0.0,1,1,ATTIA_P051,30
0,gp_ucb,3,1026.0,924.68,162.2600000000001,0,0,,30
1,gp_ucb,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P119,30
2,gp_ucb,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P125,30
3,gp_ucb,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P114,30
4,gp_ucb,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P085,30
5,gp_ucb,3,1120.0,951.88,135.06000000000006,0,0,ATTIA_P120,30
6,gp_ucb,3,1120.0,980.3,106.6400000000001,0,0,ATTIA_P115,30
7,gp_ucb,3,1120.0,980.3,106.6400000000001,0,0,ATTIA_P090,30
8,gp_ucb,3,1120.0,1026.3,60.6400000000001,1,1,ATTIA_P055,30
9,gp_ucb,3,1120.0,1026.3,60.6400000000001,1,1,ATTIA_P080,30
10,gp_ucb,3,1120.0,1026.3,60.6400000000001,1,1,ATTIA_P089,30
11,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P116,30
12,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P081,30
13,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P000,30
14,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P001,30
15,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P002,30
16,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P003,30
17,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P004,30
18,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P005,30
19,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P006,30
20,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P007,30
21,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P008,30
22,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P009,30
23,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P010,30
24,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P011,30
25,gp_ucb,3,1171.0,1026.3,60.6400000000001,1,1,ATTIA_P012,30
0,random,4,990.0,836.38,250.56000000000006,0,0,,30
1,random,4,990.0,836.38,250.56000000000006,0,0,ATTIA_P164,30
2,random,4,990.0,836.38,250.56000000000006,0,0,ATTIA_P159,30
3,random,4,990.0,836.38,250.56000000000006,0,0,ATTIA_P072,30
4,random,4,990.0,836.38,250.56000000000006,0,0,ATTIA_P174,30
